1	1	ERR022075_revised_scaffold_0	gene_0_1	gene_0_2	0	-	-	NA	NA
2	1	ERR022075_revised_scaffold_0	gene_0_3	gene_0_4	76	-	-	Yes	No
3	1	ERR022075_revised_scaffold_0	gene_0_5	gene_0_6	74	-	-	NA	No
4	1	ERR022075_revised_scaffold_0	gene_0_8	gene_0_9	17	+	+	Yes	No
5	1	ERR022075_revised_scaffold_0	gene_0_11	gene_0_12	-3	+	+	Yes	NA
6	1	ERR022075_revised_scaffold_0	gene_0_13	gene_0_14	0	+	+	Yes	NA
6	2	ERR022075_revised_scaffold_0	gene_0_14	gene_0_15	-3	+	+	NA	NA
6	3	ERR022075_revised_scaffold_0	gene_0_15	gene_0_16	31	+	+	NA	No
7	1	ERR022075_revised_scaffold_0	gene_0_18	gene_0_19	1	-	-	NA	NA
7	2	ERR022075_revised_scaffold_0	gene_0_19	gene_0_20	16	-	-	NA	No
8	1	ERR022075_revised_scaffold_0	gene_0_22	gene_0_23	149	-	-	NA	No
9	1	ERR022075_revised_scaffold_0	gene_0_27	gene_0_28	0	+	+	Yes	NA
10	1	ERR022075_revised_scaffold_0	gene_0_33	gene_0_34	-10	+	+	Yes	NA
10	2	ERR022075_revised_scaffold_0	gene_0_34	gene_0_35	-3	+	+	NA	NA
11	1	ERR022075_revised_scaffold_0	gene_0_36	gene_0_37	13	+	+	Yes	NA
12	1	ERR022075_revised_scaffold_0	gene_0_46	gene_0_47	4	+	+	Yes	NA
12	2	ERR022075_revised_scaffold_0	gene_0_47	gene_0_48	0	+	+	NA	NA
12	3	ERR022075_revised_scaffold_0	gene_0_48	gene_0_49	-3	+	+	NA	NA
12	4	ERR022075_revised_scaffold_0	gene_0_49	gene_0_50	0	+	+	NA	NA
12	5	ERR022075_revised_scaffold_0	gene_0_50	gene_0_51	-3	+	+	NA	NA
12	6	ERR022075_revised_scaffold_0	gene_0_51	gene_0_52	0	+	+	NA	NA
13	1	ERR022075_revised_scaffold_0	gene_0_54	gene_0_55	-3	-	-	Yes	NA
13	2	ERR022075_revised_scaffold_0	gene_0_55	gene_0_56	0	-	-	NA	NA
