1	1	ERR022075_revised_scaffold_0	gene_0_6	gene_0_7	22	+	+	Yes	No
2	1	ERR022075_revised_scaffold_0	gene_0_9	gene_0_10	25	+	+	NA	No
3	1	ERR022075_revised_scaffold_0	gene_0_11	gene_0_12	13	-	-	NA	NA
3	2	ERR022075_revised_scaffold_0	gene_0_12	gene_0_13	15	-	-	NA	No
4	1	ERR022075_revised_scaffold_0	gene_0_19	gene_0_20	54	+	+	Yes	No
5	1	ERR022075_revised_scaffold_0	gene_0_25	gene_0_26	0	+	+	Yes	NA
6	1	ERR022075_revised_scaffold_0	gene_0_31	gene_0_32	0	-	-	Yes	NA
6	2	ERR022075_revised_scaffold_0	gene_0_32	gene_0_33	-9	-	-	NA	NA
7	1	ERR022075_revised_scaffold_0	gene_0_36	gene_0_37	-3	+	+	Yes	NA
7	2	ERR022075_revised_scaffold_0	gene_0_37	gene_0_38	0	+	+	NA	NA
8	1	ERR022075_revised_scaffold_0	gene_0_39	gene_0_40	27	+	+	Yes	No
9	1	ERR022075_revised_scaffold_0	gene_0_42	gene_0_43	-3	-	-	Yes	NA
10	1	ERR022075_revised_scaffold_0	gene_0_50	gene_0_51	0	+	+	Yes	NA
11	1	ERR022075_revised_scaffold_0	gene_0_54	gene_0_55	13	+	+	Yes	NA
11	2	ERR022075_revised_scaffold_0	gene_0_55	gene_0_56	20	+	+	NA	No
12	1	ERR022075_revised_scaffold_0	gene_0_57	gene_0_58	-3	+	+	NA	NA
12	2	ERR022075_revised_scaffold_0	gene_0_58	gene_0_59	-3	+	+	NA	NA
12	3	ERR022075_revised_scaffold_0	gene_0_59	gene_0_60	2	+	+	NA	NA
13	1	ERR022075_revised_scaffold_0	gene_0_62	gene_0_63	35	+	+	Yes	No
14	1	ERR022075_revised_scaffold_0	gene_0_64	gene_0_65	0	+	+	NA	NA
14	2	ERR022075_revised_scaffold_0	gene_0_65	gene_0_66	0	+	+	NA	NA
14	3	ERR022075_revised_scaffold_0	gene_0_66	gene_0_67	34	+	+	NA	No
15	1	ERR022075_revised_scaffold_0	gene_0_72	gene_0_73	66	+	+	Yes	No
16	1	ERR022075_revised_scaffold_0	gene_0_76	gene_0_77	70	+	+	Yes	No
17	1	ERR022075_revised_scaffold_0	gene_0_79	gene_0_80	37	+	+	Yes	No
18	1	ERR022075_revised_scaffold_0	gene_0_83	gene_0_84	90	+	+	Yes	No
19	1	ERR022075_revised_scaffold_0	gene_0_85	gene_0_86	8	+	+	NA	NA
20	1	ERR022075_revised_scaffold_0	gene_0_91	gene_0_92	56	+	+	Yes	No
21	1	ERR022075_revised_scaffold_0	gene_0_95	gene_0_96	75	-	-	Yes	No
22	1	ERR022075_revised_scaffold_0	gene_0_98	gene_0_99	11	+	+	Yes	NA
23	1	ERR022075_revised_scaffold_0	gene_0_105	gene_0_106	16	+	+	Yes	No
24	1	ERR022075_revised_scaffold_0	gene_0_107	gene_0_108	3	+	+	Yes	NA
24	2	ERR022075_revised_scaffold_0	gene_0_108	gene_0_109	-3	+	+	NA	NA
25	1	ERR022075_revised_scaffold_0	gene_0_110	gene_0_111	-3	+	+	Yes	NA
25	2	ERR022075_revised_scaffold_0	gene_0_111	gene_0_112	15	+	+	NA	No
26	1	ERR022075_revised_scaffold_0	gene_0_113	gene_0_114	-3	+	+	NA	NA
26	2	ERR022075_revised_scaffold_0	gene_0_114	gene_0_115	-3	+	+	NA	NA
27	1	ERR022075_revised_scaffold_0	gene_0_116	gene_0_117	7	+	+	Yes	NA
28	1	ERR022075_revised_scaffold_0	gene_0_126	gene_0_127	55	+	+	Yes	No
29	1	ERR022075_revised_scaffold_0	gene_0_129	gene_0_130	-3	+	+	Yes	NA
29	2	ERR022075_revised_scaffold_0	gene_0_130	gene_0_131	15	+	+	NA	No
30	1	ERR022075_revised_scaffold_0	gene_0_132	gene_0_133	-3	+	+	NA	NA
31	1	ERR022075_revised_scaffold_0	gene_0_135	gene_0_136	0	-	-	NA	NA
31	2	ERR022075_revised_scaffold_0	gene_0_136	gene_0_137	-3	-	-	NA	NA
31	3	ERR022075_revised_scaffold_0	gene_0_137	gene_0_138	0	-	-	NA	NA
31	4	ERR022075_revised_scaffold_0	gene_0_138	gene_0_139	-3	-	-	NA	NA
31	5	ERR022075_revised_scaffold_0	gene_0_139	gene_0_140	0	-	-	NA	NA
31	6	ERR022075_revised_scaffold_0	gene_0_140	gene_0_141	4	-	-	NA	NA
32	1	ERR022075_revised_scaffold_0	gene_0_146	gene_0_147	15	+	+	Yes	No
33	1	ERR022075_revised_scaffold_0	gene_0_148	gene_0_149	18	+	+	Yes	No
34	1	ERR022075_revised_scaffold_0	gene_0_152	gene_0_153	-3	-	-	Yes	NA
34	2	ERR022075_revised_scaffold_0	gene_0_153	gene_0_154	-10	-	-	NA	NA
35	1	ERR022075_revised_scaffold_0	gene_0_155	gene_0_156	5	+	+	Yes	NA
36	1	ERR022075_revised_scaffold_0	gene_0_165	gene_0_166	-3	+	+	Yes	NA
37	1	ERR022075_revised_scaffold_0	gene_0_167	gene_0_168	16	+	+	Yes	No
38	1	ERR022075_revised_scaffold_0	gene_0_169	gene_0_170	5	+	+	NA	NA
39	1	ERR022075_revised_scaffold_0	gene_0_171	gene_0_172	31	-	-	Yes	No
40	1	ERR022075_revised_scaffold_0	gene_0_173	gene_0_174	0	-	-	NA	NA
41	1	ERR022075_revised_scaffold_0	gene_0_175	gene_0_176	-3	-	-	Yes	NA
42	1	ERR022075_revised_scaffold_0	gene_0_178	gene_0_179	17	-	-	Yes	No
43	1	ERR022075_revised_scaffold_0	gene_0_180	gene_0_181	112	+	+	Yes	No
44	1	ERR022075_revised_scaffold_0	gene_0_182	gene_0_183	0	+	+	Yes	NA
45	1	ERR022075_revised_scaffold_1	gene_1_1	gene_1_2	23	+	+	Yes	No
46	1	ERR022075_revised_scaffold_1	gene_1_3	gene_1_4	4	-	-	NA	NA
47	1	ERR022075_revised_scaffold_1	gene_1_5	gene_1_6	25	-	-	Yes	No
48	1	ERR022075_revised_scaffold_1	gene_1_7	gene_1_8	8	-	-	NA	NA
48	2	ERR022075_revised_scaffold_1	gene_1_8	gene_1_9	167	-	-	NA	No
49	1	ERR022075_revised_scaffold_1	gene_1_10	gene_1_11	-6	+	+	Yes	NA
50	1	ERR022075_revised_scaffold_1	gene_1_15	gene_1_16	64	+	+	Yes	No
51	1	ERR022075_revised_scaffold_1	gene_1_17	gene_1_18	9	+	+	Yes	NA
51	2	ERR022075_revised_scaffold_1	gene_1_18	gene_1_19	47	+	+	NA	No
52	1	ERR022075_revised_scaffold_1	gene_1_20	gene_1_21	15	+	+	Yes	No
53	1	ERR022075_revised_scaffold_1	gene_1_22	gene_1_23	51	+	+	NA	No
54	1	ERR022075_revised_scaffold_1	gene_1_29	gene_1_30	0	+	+	Yes	NA
54	2	ERR022075_revised_scaffold_1	gene_1_30	gene_1_31	183	+	+	NA	No
55	1	ERR022075_revised_scaffold_1	gene_1_33	gene_1_34	134	+	+	Yes	No
56	1	ERR022075_revised_scaffold_1	gene_1_43	gene_1_44	22	-	-	Yes	No
57	1	ERR022075_revised_scaffold_1	gene_1_45	gene_1_46	-25	-	-	Yes	NA
58	1	ERR022075_revised_scaffold_1	gene_1_49	gene_1_50	106	-	-	Yes	No
59	1	ERR022075_revised_scaffold_1	gene_1_51	gene_1_52	50	-	-	Yes	No
60	1	ERR022075_revised_scaffold_1	gene_1_53	gene_1_54	5	+	+	Yes	NA
60	2	ERR022075_revised_scaffold_1	gene_1_54	gene_1_55	0	+	+	NA	NA
60	3	ERR022075_revised_scaffold_1	gene_1_55	gene_1_56	29	+	+	NA	No
61	1	ERR022075_revised_scaffold_1	gene_1_60	gene_1_61	-3	+	+	Yes	NA
